ques_no,question,category,difficulty,expected_answer,keywords
1,What is the difference between a list and a tuple in Python?,Data Structures,Easy,Lists are mutable (can be modified); tuples are immutable. Use tuples for fixed collections and lists for mutable sequences.,"mutable, immutable, list, tuple"
2,Explain Python generators and yield.,Language,Easy,Generators use `yield` to produce items lazily and return an iterator. They are memory efficient for large sequences.,"generator, yield, iterator, lazy"
3,What is a decorator and how is it used?,Language,Easy,A decorator wraps a function to modify its behavior without changing its code. Use `@decorator` syntax to apply it.,"decorator, wrapper, @decorator, higher-order"
4,Explain the Global Interpreter Lock (GIL).,Internals,Easy,"GIL is a CPython mechanism allowing only one thread to execute Python bytecode at a time, limiting CPU-bound thread parallelism.","GIL, CPython, threading, parallelism"
5,How does Python's garbage collection work?,Internals,Easy,Python uses reference counting and a cyclic garbage collector to collect unreachable objects and break reference cycles.,"reference counting, gc, cycles"
6,Difference between deep copy and shallow copy.,Data Structures,Easy,Shallow copy copies outer object but shares nested references; deep copy duplicates nested objects recursively (use copy.deepcopy).,"shallow copy, deep copy, copy.deepcopy"
7,What is the difference between __init__ and __new__?,OOP,Easy,__new__ creates and returns a new instance; __init__ initializes it after creation. Override __new__ for immutable classes.,"__new__, __init__, constructor"
8,How do you handle exceptions in Python?,Error Handling,Easy,"Use try/except blocks to catch exceptions, optionally using else and finally. Prefer catching specific exceptions over bare except.","try, except, finally, raise"
9,Explain context managers and the with statement.,Language,Easy,"`with` calls __enter__ and __exit__ methods of a context manager to handle setup/teardown, ensuring resources are released properly.","context manager, with, __enter__, __exit__"
10,What are list comprehensions and generator expressions?,Language,Easy,List comprehensions produce lists; generator expressions produce iterators lazily. Use generators to save memory on large datasets.,"list comprehension, generator expression, lazy"
11,How to profile Python code for performance bottlenecks?,Performance,Easy,"Use cProfile, profile, timeit for microbenchmarks, and line_profiler or tracemalloc for memory allocation hotspots.","cProfile, timeit, tracemalloc, profiling"
12,Explain mutable vs immutable types with examples.,Data Structures,Easy,"Immutable: tuple, str, int (cannot change). Mutable: list, dict, set (can change in place). Impacts copying and function behavior.","mutable, immutable, str, list, dict"
13,How would you implement a thread-safe counter in Python?,Concurrency,Easy,"Use threading.Lock to protect increments, or use multiprocessing.Value/Manager for inter-process, or atomic primitives if provided.","threading.Lock, atomicity, thread-safe"
14,When to use multiprocessing vs threading?,Concurrency,Easy,Use multiprocessing for CPU-bound tasks to bypass GIL; threading for I/O-bound concurrency where waiting dominates execution.,"multiprocessing, threading, GIL, I/O-bound"
