ques_no,question,category,difficulty,expected_answer,keywords
1,What is the difference between supervised and unsupervised learning?,ML Basics,Easy,"Supervised learning uses labeled examples to learn mappings; unsupervised finds patterns in unlabeled data (e.g., clustering).","supervised, unsupervised, labels, clustering"
2,Explain overfitting and how to prevent it.,Modeling,Easy,"Overfitting is when model captures noise; prevent with regularization, cross-validation, more data, or simpler models.","overfitting, regularization, cross-validation"
3,What is cross-validation and why use it?,Evaluation,Easy,Cross-validation splits data into folds to estimate generalization performance and reduce variance in estimates.,"cross-validation, k-fold, validation"
4,Explain bias-variance tradeoff.,Theory,Easy,Bias is error from wrong assumptions (underfit); variance is sensitivity to data (overfit). Balance via model complexity.,"bias, variance, tradeoff"
5,"Describe precision, recall, and F1-score.",Metrics,Easy,Precision measures positive predictive value; recall measures coverage of positives; F1 is harmonic mean balancing both.,"precision, recall, F1"
6,What is ROC curve and AUC?,Metrics,Easy,"ROC plots TPR vs FPR for thresholds; AUC summarizes separability of classes (1 is perfect, 0.5 random).","ROC, AUC, TPR, FPR"
7,Explain logistic regression.,Algorithms,Easy,Logistic regression models log-odds as linear function of features and outputs probabilities via sigmoid for binary classification.,"logistic regression, sigmoid, log-odds"
8,What is regularization (L1 vs L2)?,Modeling,Easy,L1 (Lasso) adds absolute weight penalty yielding sparse models; L2 (Ridge) adds squared penalty shrinking weights.,"L1, L2, regularization"
9,How to handle missing values in datasets?,Data Cleaning,Easy,"Impute with mean/median/mode, model-based imputation, or drop rows/columns depending on missingness mechanism.","imputation, mean, median, drop"
10,Explain one-hot encoding and when to use it.,Feature Engineering,Easy,"Convert categorical variables to binary indicator columns; useful for nominal categories, beware of high cardinality.","one-hot, encoding, categorical"
11,Describe feature scaling and why it's important.,Feature Engineering,Easy,Scale features via standardization or min-max scaling to ensure algorithms behave well and converge faster.,"scaling, standardization, normalization"
12,What is PCA and when to use it?,Dimensionality Reduction,Easy,PCA projects data onto orthogonal components capturing max variance; use for compression and noise reduction.,"PCA, eigenvectors, variance"
13,Explain K-means clustering algorithm.,Algorithms,Easy,K-means partitions data into k clusters by minimizing within-cluster variance using iterative centroid updates.,"k-means, clustering, centroid"
14,How to evaluate clustering performance?,Evaluation,Easy,"Use silhouette score, Davies-Bouldin, or compare to ground truth with adjusted rand index if labels available.","silhouette, adjusted rand index, DB index"
15,Describe decision trees and how they split data.,Algorithms,Easy,Decision trees split features on thresholds to create homogeneous leaf nodes using metrics like Gini or entropy.,"decision tree, entropy, Gini"
16,What is random forest and why use it?,Ensemble,Easy,Random forest builds multiple trees on bootstrapped samples and averages predictions to reduce variance and improve accuracy.,"random forest, ensemble, bagging"
17,"Explain gradient boosting (e.g., XGBoost, LightGBM).",Ensemble,Easy,Boosting builds sequential models that correct prior residuals; XGBoost/LightGBM optimize speed and regularization.,"gradient boosting, XGBoost, LightGBM"
18,Describe hyperparameter tuning methods.,Modeling,Easy,"Use grid search, random search, or Bayesian optimization with cross-validation to find optimal hyperparameters.","grid search, random search, Bayesian optimization"
19,What is feature importance and how to compute it?,Interpretability,Easy,"Compute via model coefficients, tree-based importance, permutation importance, or SHAP values for robust explanations.","feature importance, SHAP, permutation"
20,Explain train/test split and why it's necessary.,Evaluation,Easy,Split data to avoid information leak and measure generalization; use stratification for imbalanced labels.,"train/test split, stratify, leakage"
21,How to handle class imbalance?,Modeling,Easy,"Use resampling (oversample minority/undersample majority), class weights, or specialized metrics and algorithms.","class imbalance, oversampling, class weights"
22,Explain Naive Bayes classifier.,Algorithms,Easy,Naive Bayes assumes conditional independence of features and uses Bayes rule for probabilistic classification.,"Naive Bayes, independence, Bayes"
23,What is cross-entropy loss?,Loss Functions,Easy,Cross-entropy measures difference between true labels and predicted probabilities; widely used in classification.,"cross-entropy, log loss"
24,Describe evaluation metrics for regression.,Metrics,Easy,"Use RMSE, MAE, R^2 to measure different aspects: error scale, robustness to outliers, and variance explained.","RMSE, MAE, R2"
25,Explain embeddings in NLP.,NLP,Easy,"Embeddings map tokens to dense vectors capturing semantic info, via Word2Vec, GloVe, or contextual models like BERT.","embeddings, Word2Vec, BERT"
26,What is TF-IDF and when to use it?,NLP,Easy,TF-IDF weights terms by frequency and inverse document frequency to highlight informative words for text features.,"TF-IDF, text vectorization"
27,Describe basics of neural networks.,Deep Learning,Easy,Neural nets are layered units with activations; trained via backpropagation to minimize loss using gradient descent.,"neural network, backpropagation, activation"
28,Explain SGD and variants like Adam.,Optimization,Easy,SGD updates weights per batch; Adam adapts learning rates per parameter using moment estimates for faster convergence.,"SGD, Adam, learning rate"
29,How to prevent overfitting in neural networks?,Deep Learning,Easy,"Use dropout, regularization, early stopping, data augmentation, and reduce model complexity.","dropout, early stopping, regularization"
30,What is transfer learning?,Deep Learning,Easy,Reuse pretrained model weights and fine-tune on new task to leverage learned features and reduce training time.,"transfer learning, fine-tuning"
31,Explain bootstrap sampling.,Statistics,Easy,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
32,Explain bootstrap sampling.,Statistics,Easy,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
33,Explain bootstrap sampling.,Statistics,Easy,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
34,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
35,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
36,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
37,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
38,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
39,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
40,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
41,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
42,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
43,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
44,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
45,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
46,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
47,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
48,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
49,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
50,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
51,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
52,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
53,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
54,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
55,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
56,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
57,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
58,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
59,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
60,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
61,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
62,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
63,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
64,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
65,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
66,Explain bootstrap sampling.,Statistics,Medium,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
67,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
68,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
69,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
70,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
71,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
72,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
73,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
74,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
75,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
76,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
77,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
78,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
79,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
80,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
81,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
82,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
83,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
84,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
85,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
86,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
87,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
88,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
89,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
90,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
91,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
92,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
93,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
94,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
95,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
96,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
97,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
98,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
99,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
100,Explain bootstrap sampling.,Statistics,Hard,Bootstrap resamples data with replacement to estimate sampling distributions and confidence intervals.,"bootstrap, resampling"
