ques_no,question,category,difficulty,expected_answer,keywords
1,What is the difference between == and .equals() in Java?,Basics,Easy,== checks reference equality; .equals() checks logical equality when overridden.,"==, .equals, reference equality"
2,Explain Java memory model: stack vs heap.,Memory,Easy,Stack stores local primitives and references; heap stores objects and is managed by GC.,"stack, heap, garbage collector"
3,Difference between ArrayList and LinkedList.,Collections,Easy,ArrayList is backed by array (fast random access); LinkedList is better for insertions/deletions.,"ArrayList, LinkedList, random access"
4,How does HashMap work internally?,Collections,Easy,Uses hash codes to map keys to buckets; collisions handled by chaining or treeify at threshold.,"HashMap, bucket, hashCode, collision"
5,Explain synchronized vs volatile.,Concurrency,Easy,synchronized enforces mutual exclusion; volatile ensures visibility but not atomicity.,"synchronized, volatile, memory visibility"
6,How to create threads in Java?,Concurrency,Easy,"Implement Runnable or Callable and submit to ExecutorService, or extend Thread for simple cases.","Thread, Runnable, ExecutorService"
7,What is a deadlock and how to avoid it?,Concurrency,Easy,Deadlock is circular waiting for locks; avoid by ordering locks consistently or using tryLock with timeout.,"deadlock, locks, tryLock"
8,Explain Java Stream API.,Modern Java,Easy,"Stream provides functional operations (map, filter, collect) with lazy evaluation and optional parallel execution.","Stream, map, filter, collect"
9,What is the difference between checked and unchecked exceptions?,Error Handling,Easy,Checked exceptions must be declared or handled; unchecked (RuntimeException) need not be declared.,"checked exception, unchecked, RuntimeException"
10,How to reverse a String in Java?,Coding,Easy,Use StringBuilder(s).reverse().toString() or convert to char array and swap in place.,"StringBuilder, reverse, char array"
11,Explain the purpose of the final keyword.,Language,Easy,"final prevents reassignment for variables, prevents overriding for methods, and inheritance for classes.","final, immutability, constant"
12,What is the use of volatile keyword?,Concurrency,Easy,volatile ensures variable updates are visible across threads by preventing caching in registers.,"volatile, visibility"
13,Describe Java ClassLoader mechanism.,Runtime,Easy,ClassLoaders load classes with parent delegation; custom class loaders can load classes dynamically.,"ClassLoader, parent delegation"
14,How does garbage collection work in Java?,Memory,Easy,"GC reclaims unreachable objects; algorithms include mark-sweep, generational collectors, and G1 for large heaps.","GC, mark-sweep, generational"
15,Explain equal/hashCode contract.,Language,Easy,"If equals() is overridden, hashCode() must be overridden to maintain consistent behavior in hash-based collections.","equals, hashCode, contract"
16,What is the difference between Comparable and Comparator?,Collections,Easy,Comparable defines natural order via compareTo; Comparator provides external ordering and can be passed as a lambda.,"Comparable, Comparator"
17,Explain volatile vs AtomicInteger.,Concurrency,Easy,"AtomicInteger provides atomic operations with CAS; volatile only guarantees visibility, not atomic updates.","AtomicInteger, CAS, volatile"
18,How to implement a thread-safe singleton?,Design,Easy,Use enum singleton or double-checked locking with volatile or initialization-on-demand holder idiom.,"singleton, volatile, enum"
19,What is Java Optional and how to use it?,Modern Java,Easy,Optional avoids null checks by wrapping optional values and providing methods like orElse and ifPresent.,"Optional, null-safety"
20,Explain try-with-resources.,Error Handling,Easy,"try-with-resources automatically closes resources implementing AutoCloseable, avoiding manual finally blocks.","try-with-resources, AutoCloseable"
